timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774681308047,-1.038844,4.414190,2.343684,-0.049562,0.046071,0.022676,-12.991660,-12.050020,-1.313220,0.040662,0.045592,0.069973,-8.873630,4.185304,-8.076839,0.141012,-0.145888,0.004876,-1.312980,9.080968,-2.374809,-0.138401,0.070160,0.163901,-0.816662,0.323217,0.019153,-0.037971,0.035892,0.001812,1.798764,1.622551,0.109415,-0.039170,0.017267,0.009832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308105,-0.928711,4.622485,2.501701,-0.065550,0.049269,0.027739,-12.929410,-11.939880,-1.236605,0.047857,0.055451,0.057183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857364,0.308852,0.026337,-0.037172,0.036425,0.002078,1.820312,1.601003,0.085473,-0.038104,0.017267,0.010099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308145,-0.921528,4.474045,2.391568,-0.121507,0.051134,0.030137,-12.912650,-12.009320,-1.303643,0.045725,0.066109,0.046791,-8.835322,4.281072,-8.158242,0.188442,-0.138161,0.006209,-1.241154,8.949286,-2.429875,-0.125344,0.074157,0.176158,-0.845393,0.325611,0.035913,-0.037971,0.035626,0.003144,1.844254,1.589032,0.068713,-0.039170,0.018599,0.009832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308218,-1.029267,4.538688,2.465788,-0.048496,0.060727,0.024541,-12.991660,-12.054810,-1.313220,0.037465,0.054651,0.063578,-8.789832,4.261919,-8.088811,0.166592,-0.138694,0.006742,-1.301010,8.922950,-2.346078,-0.137068,0.069893,0.165233,-0.840604,0.299275,0.009577,-0.037971,0.034294,0.001545,1.839465,1.617762,0.118992,-0.039170,0.018866,0.009832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308297,-0.837731,4.605726,2.343684,-0.065816,0.052999,0.014682,-12.934200,-11.894390,-1.174356,0.073970,0.070906,0.068374,-8.830534,4.156574,-8.148665,0.167658,-0.127236,-0.005782,-1.296221,8.946892,-2.449029,-0.112554,0.074157,0.172428,-0.838210,0.351948,0.050279,-0.037438,0.037225,0.002611,1.815523,1.574666,0.157299,-0.040502,0.017000,0.009300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308345,-0.923923,4.493198,2.374809,-0.055691,0.055664,0.031736,-12.922220,-11.966220,-1.267730,0.042794,0.075702,0.045458,-8.861658,4.343321,-8.122330,0.164727,-0.131499,0.005942,-1.303403,8.920556,-2.401145,-0.162116,0.078153,0.150045,-0.823845,0.335188,0.052672,-0.037971,0.036692,0.001812,1.786793,1.569878,0.128569,-0.038637,0.018333,0.009033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308402,-0.919134,4.383065,2.381991,-0.071945,0.074050,0.033601,-12.986870,-11.906360,-1.219846,0.049455,0.069573,0.088092,-8.868841,4.161362,-8.201338,0.174853,-0.134697,-0.003118,-1.411143,9.001959,-2.379597,-0.150924,0.078686,0.166832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308484,-0.861673,4.572207,2.358049,-0.000000,0.065257,0.033068,-12.950960,-11.954250,-1.308431,0.079832,0.082364,0.098485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.795114,0.320823,0.035913,-0.035839,0.033228,0.002611,1.822706,1.562695,0.068713,-0.038104,0.018333,0.008767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308543,-0.840125,4.596149,2.398751,-0.035972,0.070852,0.029870,-12.960530,-11.870450,-1.286883,0.089958,0.091690,0.105146,-8.868841,4.235582,-8.167819,0.188975,-0.135496,-0.007914,-1.284250,8.896614,-2.365232,-0.125877,0.064297,0.160437,-0.840604,0.304064,0.033519,-0.037172,0.035093,0.001279,1.801158,1.596214,0.042378,-0.037305,0.017267,0.009566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774681308585,-0.825760,4.459680,2.350867,-0.012790,0.081511,0.036532,-12.938980,-11.911150,-1.260547,0.102215,0.103681,0.123532,-8.777862,4.084747,-8.124723,0.141012,-0.144556,-0.038824,-1.375229,8.757751,-2.322136,-0.147460,0.053106,0.139120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
