timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774682269836,-0.899981,4.859511,0.689291,-0.213703,-0.001092,0.088226,-12.994050,-10.230420,-2.721010,0.020677,0.140186,-0.084575,-8.871235,7.922653,-8.175002,0.337661,-0.223162,0.086947,-0.867659,10.366650,-0.729992,0.297532,0.019532,0.387463,-10.034340,-0.545878,-12.919110,-0.051294,0.038024,-0.000586,1.765245,8.893742,-13.441770,-0.035440,0.021530,0.011964,-6.599856,-1.255280,-9.340499,0.012417,-0.434147,-0.195317,-0.886333,-1.883518,-2.651818,0.012470,-1.066836,-0.041941
1774682269877,-0.981383,4.792474,0.639012,-0.040502,-0.052786,0.042661,-13.527960,-10.352530,-2.335544,0.011618,0.110076,-0.099231,-8.729978,7.154114,-8.342596,0.135150,-0.225294,0.035519,-0.925120,9.856688,-0.804212,-0.205549,0.217780,0.411445,-9.993637,-0.560243,-12.885590,-0.031309,0.030030,-0.000586,1.820312,8.872193,-13.410640,-0.035706,0.020731,0.007701,-6.626193,-0.936851,-9.304586,0.006289,-0.418959,-0.201712,-0.871968,-1.926614,-2.721250,0.008740,-1.066303,-0.040076
1774682269941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.677305,7.108624,-8.344991,0.160464,-0.230623,0.068294,-0.872447,9.760921,-0.854491,-0.146394,0.207921,0.433295,-9.964907,-0.514753,-12.916720,-0.035573,0.026033,-0.002185,1.846648,8.860223,-13.537530,-0.033041,0.021797,0.009033,-6.484934,-1.078109,-9.316557,-0.013963,-0.447737,-0.199847,-0.879151,-1.895489,-2.670971,0.011138,-1.072432,-0.035013
1774682269972,-0.916739,5.180334,0.907163,-0.083669,-0.091157,0.026673,-12.893490,-10.156200,-2.823961,0.205336,0.115405,-0.062992,-8.808986,7.534792,-8.151060,0.185245,-0.229557,0.103201,-0.937090,9.976398,-0.945470,-0.097632,0.209253,0.459141,-9.907446,-0.529119,-12.885590,-0.034773,0.029231,0.004210,1.805946,8.814733,-13.523170,-0.037838,0.014869,0.011431,-6.518453,-1.097263,-9.299798,-0.002238,-0.444539,-0.200913,-0.919852,-1.878730,-2.649424,0.013803,-1.071099,-0.033414
1774682270032,-0.890404,4.979221,0.904769,-0.064217,-0.093821,0.029338,-12.900680,-10.275910,-2.835932,0.124065,0.156440,-0.080578,-8.789832,7.348044,-8.220491,0.155134,-0.233554,0.078153,-0.896389,9.921332,-1.034056,-0.101096,0.217780,0.460207,-9.993637,-0.574608,-12.947840,-0.035306,0.027632,0.005276,1.793975,8.869800,-13.465710,-0.041035,0.017533,0.012764,-6.540001,-1.094869,-9.184876,-0.005969,-0.428818,-0.199314,-0.876756,-1.797327,-2.637453,0.010072,-1.071099,-0.034480
1774682270082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.878418,7.206787,-8.165425,0.175652,-0.233288,0.072824,-0.893995,10.005130,-0.904769,-0.054465,0.207921,0.468468,-10.027160,-0.588974,-12.947840,-0.037438,0.024701,0.000746,1.837071,8.814733,-13.441770,-0.042900,0.018866,0.014362,-6.544790,-1.114022,-9.239943,-0.010499,-0.448803,-0.204377,-0.843238,-1.893095,-2.704490,0.009006,-1.071366,-0.036345
1774682270119,-0.809001,5.381447,1.043633,-0.070613,-0.063178,0.062912,-12.812090,-10.228030,-2.804807,0.077434,0.225987,-0.107225,-8.835322,7.326497,-8.105570,0.261187,-0.294574,0.092009,-0.803015,10.278070,-1.079545,0.007621,0.220977,0.490318,-10.010400,-0.548272,-12.866440,-0.044899,0.025500,0.002078,1.791581,8.848251,-13.436980,-0.042368,0.022063,0.011698,-6.561549,-1.032619,-9.278250,0.008687,-0.432016,-0.203311,-0.922247,-1.850000,-2.659000,0.013803,-1.068701,-0.037678
1774682270171,-0.797029,5.261737,1.120247,-0.155081,-0.041595,0.058115,-12.694780,-10.350130,-2.821567,0.057183,0.289938,-0.118682,-8.768285,7.771818,-8.060081,0.341925,-0.278320,0.114392,-0.714430,10.412140,-1.283053,-0.014762,0.222576,0.475929,-9.986455,-0.581791,-12.880810,-0.039836,0.020971,-0.000053,1.798764,8.814733,-13.537530,-0.043700,0.023129,0.014096,-6.420291,-1.044590,-9.364441,-0.002771,-0.455464,-0.203577,-0.838449,-1.955344,-2.620693,0.010339,-1.072165,-0.036612
1774682270218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.650969,7.774212,-8.026562,0.240402,-0.260467,0.084016,-0.558807,10.546220,-1.366850,-0.006768,0.198062,0.448749,-9.964907,-0.457293,-12.840100,-0.038237,0.019638,0.001013,1.834677,8.821916,-13.472890,-0.045032,0.021264,0.015428,-6.544790,-1.054167,-9.352470,0.011085,-0.430417,-0.200913,-0.888728,-1.897884,-2.706884,0.014069,-1.073231,-0.033681
1774682270276,-0.835337,5.034288,1.072363,-0.110848,-0.038664,0.054119,-12.651680,-10.371680,-3.015497,0.048123,0.292336,-0.101096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.022370,-0.584185,-12.844890,-0.045432,0.026833,0.007674,1.798764,8.872193,-13.477680,-0.049296,0.023662,0.011698,-6.547184,-1.104445,-9.297403,-0.015028,-0.449336,-0.203577,-0.852814,-1.873942,-2.682942,0.009006,-1.074830,-0.031816
