timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774679951945,17.832251,5.824375,4.666059,0.110049,0.131606,0.247570,-12.484090,-13.510480,-0.228646,-0.234327,0.055984,-0.049669,-8.569566,5.770266,-8.287529,0.138880,0.023582,-0.111568,16.645929,5.274187,1.767160,-0.178636,-0.139280,0.170563,-10.951320,-0.325611,-10.110710,0.081937,-0.432815,-0.425061,-6.827545,1.936191,-13.446560,0.079672,0.696213,-0.242241,-9.824128,0.129526,-11.364560,-0.100510,0.156573,-0.053985,-4.686889,0.030646,-11.599910,0.008127,-0.106772,-0.041808
1774679952000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.933484,7.259459,-8.797494,0.006981,0.088865,-0.273044,16.995480,4.625358,1.841381,0.000160,-0.308750,0.081831,-9.064687,0.584185,-12.006920,0.288712,-0.119722,-0.340859,-6.657557,3.020764,-12.927010,0.454851,0.264277,-0.067175,-9.795398,-0.421140,-11.067680,-0.035493,0.165633,-0.089425,-4.627034,0.241336,-11.377250,0.029711,-0.085455,-0.069520
1774679952050,18.193781,5.747760,4.864779,0.207841,0.075116,0.270220,-12.555910,-13.816940,-0.190339,-0.336649,0.030670,0.002558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.525150,-0.593762,-10.350130,0.852813,-0.035253,-0.374167,-7.567353,2.415031,-11.847230,0.873464,-1.206862,0.057263,-10.207200,-0.071587,-10.916840,0.121187,0.119269,-0.043593,-4.931098,0.593283,-10.982200,0.216767,-0.028432,-0.072984
1774679952088,17.389330,6.655162,5.377138,-0.051694,-0.042927,0.368811,-12.017220,-13.809760,0.348356,-0.188496,0.176425,0.238910,-8.662939,5.851668,-9.518149,0.287300,0.117910,-0.169657,17.292360,5.355590,1.185369,-0.134937,-0.382027,-0.045538,-10.221090,0.521936,-8.573636,1.286880,-0.209786,-0.342724,-7.564960,2.977669,-11.272620,0.741299,-1.711542,-0.099151,-9.611044,0.005028,-11.809880,0.128382,0.126197,-0.125131,-4.595909,0.095289,-11.868060,0.220764,-0.015108,-0.136402
1774679952145,17.339050,6.458838,5.271793,-0.244346,-0.069307,0.387463,-11.916660,-13.989320,0.427365,-0.138667,0.213197,0.338834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.838014,1.436521,-7.228095,1.133398,-0.256950,-0.286500,-7.725370,3.233848,-10.891940,0.404490,-1.670240,-0.318982,-9.709207,-0.401986,-11.271180,0.081484,0.189082,-0.125397,-4.598304,-0.089064,-11.283870,0.217034,-0.017507,-0.157186
1774679952186,17.128361,4.488410,5.456146,-0.367452,-0.026673,0.291270,-12.177630,-12.868830,0.623690,0.319115,0.340299,0.407048,-9.002916,5.966590,-9.915586,0.446111,0.171735,-0.253326,17.517420,5.073074,1.068053,-0.373953,-0.230943,0.035733,-9.438182,-0.447716,-4.537012,0.789129,-0.309709,-0.540972,-6.999928,0.717542,-10.034820,0.427406,-1.350219,-0.432495,-9.864829,-0.567186,-11.407650,0.364734,0.240509,-0.138454,-4.892791,0.169509,-11.250350,0.431003,0.036052,-0.168378
1774679952243,17.123569,5.043865,5.240668,-0.269127,-0.051720,0.341632,-12.072280,-12.761100,0.468066,0.227186,0.391993,0.378803,-8.737160,6.373604,-9.630676,0.533245,0.167205,-0.212824,17.234900,4.709156,0.957920,-0.498391,-0.350052,-0.086307,-9.174820,-0.007183,-6.294356,0.393432,0.157666,-0.527116,-5.951267,1.756626,-10.281420,0.438597,-0.169523,-0.353889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774679952298,17.171459,5.197093,5.037161,-0.713587,-0.109809,0.272085,-11.875960,-13.570340,0.049081,0.234114,0.434893,0.389195,-9.271067,6.160521,-9.877279,0.515392,0.120041,-0.219219,17.558121,5.274187,0.749625,-0.486401,-0.435320,-0.215009,-8.494867,-0.265756,-6.569689,0.218899,0.097712,-0.469294,-5.850711,1.174835,-10.599850,0.430870,0.124651,-0.361616,-9.448238,-0.591128,-11.309490,0.463858,0.326843,-0.153376,-4.557602,-0.376369,-11.145010,0.500550,0.092276,-0.297878
1774679952353,17.042170,4.651216,4.876750,-0.698665,-0.162569,0.228651,-11.852020,-13.256690,0.080206,0.314319,0.487386,0.384932,-8.964609,5.887581,-10.435130,0.492476,0.138694,-0.314879,17.893299,5.532761,0.428802,-0.478140,-0.410006,-0.255244,-14.212220,-0.440533,-7.513005,0.272724,0.668474,-0.415735,-9.087671,4.004781,-7.609491,1.118610,0.035919,-0.027206,-9.934261,-1.069969,-11.151470,0.560317,0.399587,-0.203471,-4.813782,-0.421858,-10.826580,0.567432,0.147434,-0.351704
1774679952406,21.272720,2.869930,4.903086,-0.481764,-0.522293,0.257696,-15.424170,-11.772290,-1.873463,-0.105093,0.511102,0.383599,-10.415490,3.842933,-11.273100,1.060041,0.125104,-0.653819,19.734449,6.933369,-0.150595,-1.130707,-0.265583,-0.580062,-10.702320,2.319982,-6.335058,0.541319,0.926410,-0.190307,-8.797973,2.647269,-10.075520,0.548913,0.744709,-0.427965,-10.365220,-0.938288,-10.940780,0.730853,0.287406,-0.184285,-4.813782,0.016281,-9.358934,0.712654,0.276934,-0.440436
