timestamp_ms,left_arm_upper_arm_ax,left_arm_upper_arm_ay,left_arm_upper_arm_az,left_arm_upper_arm_gx,left_arm_upper_arm_gy,left_arm_upper_arm_gz,left_arm_forearm_ax,left_arm_forearm_ay,left_arm_forearm_az,left_arm_forearm_gx,left_arm_forearm_gy,left_arm_forearm_gz,right_arm_upper_arm_ax,right_arm_upper_arm_ay,right_arm_upper_arm_az,right_arm_upper_arm_gx,right_arm_upper_arm_gy,right_arm_upper_arm_gz,right_arm_forearm_ax,right_arm_forearm_ay,right_arm_forearm_az,right_arm_forearm_gx,right_arm_forearm_gy,right_arm_forearm_gz,left_leg_thigh_ax,left_leg_thigh_ay,left_leg_thigh_az,left_leg_thigh_gx,left_leg_thigh_gy,left_leg_thigh_gz,left_leg_shin_ax,left_leg_shin_ay,left_leg_shin_az,left_leg_shin_gx,left_leg_shin_gy,left_leg_shin_gz,right_leg_thigh_ax,right_leg_thigh_ay,right_leg_thigh_az,right_leg_thigh_gx,right_leg_thigh_gy,right_leg_thigh_gz,right_leg_shin_ax,right_leg_shin_ay,right_leg_shin_az,right_leg_shin_gx,right_leg_shin_gy,right_leg_shin_gz
1774679830094,18.449961,4.555448,3.126588,-0.108717,0.042074,0.015481,-12.689990,-12.447450,-1.413776,0.053719,0.085028,0.051587,-8.861658,4.348110,-9.082404,0.191640,-0.153083,0.002478,17.285179,6.306088,1.302685,-0.151724,0.057636,0.178024,-9.890686,-0.122104,-13.151350,-0.037438,0.036159,-0.003251,-7.718188,0.506852,-11.796950,-0.038104,0.015402,0.002105,-9.905531,-1.034056,-11.326250,-0.042154,0.002558,-0.007354,-4.785051,0.214999,-11.089940,0.011058,-0.007115,-0.007434
1774679830127,18.505020,4.529111,3.133771,-0.090864,0.040476,0.014682,-12.718720,-12.504920,-1.401805,0.071039,0.082097,0.065443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.861956,-0.090980,-13.165720,-0.020384,0.043620,-0.001652,-7.629602,0.461363,-11.701180,-0.026646,0.015135,0.001572,-9.879195,-0.993354,-11.343010,-0.026167,0.007088,-0.002558,-4.761109,0.200634,-11.137830,0.020118,-0.010312,-0.008767
1774679830163,18.390100,4.423767,3.052368,-0.047697,0.045006,0.003491,-12.687590,-12.401960,-1.466448,0.012950,0.063978,0.028938,-8.847293,4.142209,-9.182961,0.210559,-0.152550,0.022996,17.299540,6.538325,1.178187,-0.181035,0.074423,0.179622,-9.905051,-0.148440,-13.125010,-0.022783,0.045752,-0.000586,-7.658333,0.406296,-11.739490,-0.024781,0.019132,0.002638,-9.883984,-1.043633,-11.290340,-0.027765,0.011085,-0.006022,-4.811388,0.250912,-11.168950,0.019052,-0.009513,-0.007168
1774679830213,18.495449,4.579390,3.114617,-0.025047,0.049002,-0.007967,-12.747450,-12.413940,-1.480814,0.050521,0.067442,0.023875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.893081,-0.069432,-13.165720,-0.023049,0.045485,-0.000853,-7.663121,0.454180,-11.741880,-0.021317,0.022596,0.004770,-9.814551,-1.062786,-11.309490,-0.031229,0.008953,-0.004690,-4.806600,0.219788,-11.109100,0.015855,-0.004983,-0.009300
1774679830252,18.591221,4.565024,3.097857,-0.026646,0.044206,-0.000506,-12.819270,-12.318170,-1.504756,0.048390,0.071172,0.034001,-8.753920,4.391205,-9.072827,0.185778,-0.144822,0.012604,17.189409,6.404250,1.283532,-0.146128,0.062965,0.173494,-9.919416,-0.126893,-13.290210,-0.038770,0.040422,-0.002984,-7.687063,0.411084,-11.763430,-0.040769,0.018333,0.000773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774679830296,18.505020,4.567419,3.112223,-0.095394,0.028218,0.025341,-12.721110,-12.459420,-1.361104,0.055051,0.093289,0.061180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.893081,-0.098162,-13.204020,-0.037172,0.047617,-0.006715,-7.665516,0.478122,-11.715550,-0.038904,0.012470,0.000773,-9.857647,-1.069969,-11.271180,-0.045885,0.015082,-0.004157,-4.787446,0.195846,-11.159370,0.014789,-0.008180,-0.008234
1774679830363,18.495449,4.402219,3.164895,-0.064217,0.040209,0.025341,-12.752240,-12.310980,-1.380257,0.065177,0.091956,0.057716,-8.753920,4.261919,-9.032126,0.150338,-0.164274,0.006742,17.179831,6.579027,1.271561,-0.126943,0.062965,0.172428,-9.890686,-0.107739,-13.125010,-0.037704,0.042021,-0.005649,-7.643968,0.430238,-11.701180,-0.043700,0.012737,0.000240,-9.826522,-1.089122,-11.328640,-0.035226,0.000160,-0.004956,-4.782658,0.222182,-11.135430,0.011058,-0.003384,-0.006635
1774679830402,18.428410,4.536294,3.090675,-0.075942,0.041542,0.011218,-12.685200,-12.387600,-1.487996,0.037998,0.081031,0.034001,-8.701247,4.202064,-9.127894,0.123425,-0.163208,-0.010579,17.227720,6.413827,1.113543,-0.119748,0.060300,0.175359,-9.890686,-0.150835,-13.182470,-0.027579,0.050015,-0.001919,-7.667910,0.439815,-11.734700,-0.027979,0.026593,0.006102,-9.845675,-1.103488,-11.331040,-0.026966,0.014549,-0.000959,-4.782658,0.210211,-11.183320,0.015855,-0.001785,-0.006901
1774679830445,18.514601,4.380671,3.030820,-0.055957,0.042607,0.014149,-12.689990,-12.318170,-1.464054,0.042527,0.080765,0.029204,-8.775467,4.070382,-9.130288,0.121560,-0.152283,-0.006049,17.225321,6.605363,1.190158,-0.129341,0.063764,0.172161,-9.926600,-0.059855,-13.170500,-0.028378,0.047350,-0.002451,-7.727765,0.456574,-11.780190,-0.032775,0.028458,0.005303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774679830502,18.392500,5.022317,4.194402,-0.122040,0.212077,0.492982,-14.021160,-12.471400,-0.654814,-0.047270,0.061047,-0.122679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.895474,-0.114922,-13.146560,-0.033175,0.046551,-0.004850,-7.699035,0.468545,-11.770610,-0.034107,0.029524,0.003970,-9.895954,-1.280658,-11.345400,-0.030963,0.008154,-0.001759,-4.715619,0.056982,-11.226410,0.011325,0.000346,-0.007701
